"date","permit_number","permit_type","status","address","short_notes",
"06/22/2022","SRE22-0155","Safe to Restore Electric","Expired","932 GREELEY AVE, KANSAS CITY KS 66101",,
"06/22/2022","SRE22-0154","Safe to Restore Electric","Expired","840 MIAMI AVE, KANSAS CITY KS 66105",,
"06/21/2022","ELE22-0576","Electrical Permit","Expired","4215 MISSION RD, S, KANSAS CITY KS 66103",,
"06/21/2022","ELE22-0575","Electrical Permit","Expired","4215 MISSION RD, N, KANSAS CITY KS 66103",,
"06/21/2022","ELE22-0574","Electrical Permit","Expired","300 N COY ST, KANSAS CITY KS 66101",,
"06/21/2022","COM22-0073","Commercial","Renewed","600 N 98TH ST, KANSAS CITY KS",,
"06/21/2022","ELE22-0573","Electrical Permit","Expired","2217 N 11TH ST, KANSAS CITY KS 66104",,
"06/21/2022","ELE22-0572","Electrical Permit","Expired","900 N 69TH ST, KANSAS CITY KS 66102",,
"06/21/2022","ELE22-0571","Electrical Permit","Expired","905 N 69TH ST, KANSAS CITY KS 66102",,
"06/21/2022","NSF22-0084","New Single Family","Inspections Completed","12934 SLOAN AVE, KANSAS CITY KS 66109",,
"06/21/2022","RES22-0296","Residential","Expired","3008 S 34TH ST, KANSAS CITY KS 66106",,
"06/21/2022","MEC22-0288","Mechanical Permit","Expired","1303 N 5TH ST, KANSAS CITY KS 66101",,
"06/21/2022","PLM22-0516","Plumbing Permit","Expired","7648 STATE AVE, KANSAS CITY KS 66112",,
"06/21/2022","PLM22-0515","Plumbing Permit","Expired","6666 INLAND DR, KANSAS CITY KS 66106",,
"06/21/2022","PLM22-0514","Plumbing Permit","Expired","714 S COY ST, KANSAS CITY KS 66105",,
"06/21/2022","PLM22-0513","Plumbing Permit","Expired","608 S 73RD PL, KANSAS CITY KS 66111",,
"06/21/2022","PLM22-0512","Plumbing Permit","Expired","1324 ROWLAND AVE, KANSAS CITY KS 66104",,
"06/21/2022","DRC22-0042","DRC","Expired","4600 PARKVIEW AVE, KANSAS CITY KS 66104",,
"06/21/2022","ELE22-0570","Electrical Permit","Expired","3719 KIMBALL AVE, KANSAS CITY KS 66104",,
"06/21/2022","BSR22-0089","Stop Work Order","Closed","246 N 20TH ST, KANSAS CITY KS 66102",,
"06/21/2022","RES22-0295","Residential","Expired","13027 NEBRASKA CT, KANSAS CITY KS 66109",,
"06/21/2022","RES22-0294","Residential","Expired","13025 NEBRASKA CT, KANSAS CITY KS 66109",,
"06/21/2022","RES22-0293","Residential","Expired","13023 NEBRASKA CT, KANSAS CITY KS 66109",,
"06/21/2022","ELE22-0569","Electrical Permit","Expired","3907 N 111TH ST, KANSAS CITY KS 66109",,
"06/21/2022","RES22-0292","Residential","Expired","13021 NEBRASKA CT, KANSAS CITY KS 66109",,
"06/21/2022","PLM22-0511","Plumbing Permit","Expired","1740 WAVERLY AVE, KANSAS CITY KS 66104",,
"06/21/2022","RES22-0291","Residential","Issued","1226 S 34TH ST, KANSAS CITY KS 66106",,
"06/21/2022","PLM22-0510","Plumbing Permit","Expired","128 N 13TH ST, KANSAS CITY KS 66102",,
"06/21/2022","SRE22-0153","Safe to Restore Electric","Expired","610 GARFIELD AVE, KANSAS CITY KS 66101",,
"06/17/2022","PLM22-0509","Plumbing Permit","Expired","1217 N 64TH ST, KANSAS CITY KS 66102",,
"06/17/2022","ROOF22-0025","Re-Roof","Expired","3011 N 48TH ST, KANSAS CITY KS 66104",,
"06/17/2022","PLM22-0508","Plumbing Permit","Expired","965 S 73RD TER, KANSAS CITY KS 66111",,
"06/17/2022","PLM22-0507","Plumbing Permit","Expired","8241 OHIO AVE, KANSAS CITY KS 66112",,
"06/17/2022","ELE22-0568","Electrical Permit","Expired","3711 HARMONY DR, KANSAS CITY KS 66106",,
"06/17/2022","PLM22-0506","Plumbing Permit","Expired","4729 CANAAN LAKE DR, KANSAS CITY KS 66109",,
"06/17/2022","ROOF22-0024","Re-Roof","Expired","1956 N 29TH ST, KANSAS CITY KS 66104",,
"06/17/2022","PLM22-0505","Plumbing Permit","Expired","529 N 58TH ST, KANSAS CITY KS 66102",,
"06/17/2022","DRC22-0041","DRC","Not Required","434 MINNESOTA AVE, KANSAS CITY KS 66101",,
"06/17/2022","RES22-0290","Residential","Expired","1050 SANDUSKY AVE, KANSAS CITY KS 66102",,
"06/17/2022","ELE22-0567","Electrical Permit","Expired","1201 N 98TH ST, KANSAS CITY KS 66111",,
"06/17/2022","RES22-0289","Residential","Expired","1048 SANDUSKY AVE, KANSAS CITY KS 66102",,
"06/17/2022","DRC22-0040","DRC","Expired","1320 MERRIAM LN, KANSAS CITY KS 66103",,
"06/17/2022","RES22-0288","Residential","Expired","5048 GIBBS RD, KANSAS CITY KS 66106",,
"06/17/2022","RES22-0287","Residential","Expired","5044 GIBBS RD, KANSAS CITY KS 66106",,
"06/17/2022","PLM22-0504","Plumbing Permit","Expired","7949 WAVERLY AVE, KANSAS CITY KS 66109",,
"06/17/2022","PDEMO22-0019","Private Demolition","Issued","3912 FISHER ST, KANSAS CITY KS 66103",,
"06/17/2022","BSR22-0088","Stop Work Order","Closed","13023 NEBRASKA CT, KANSAS CITY KS 66109",,
"06/17/2022","BSR22-0087","Stop Work Order","Closed","13021 NEBRASKA CT, KANSAS CITY KS 66109",,
"06/17/2022","BSR22-0086","Stop Work Order","Closed","13027 NEBRASKA CT, KANSAS CITY KS 66109",,
"06/17/2022","BSR22-0085","Stop Work Order","Closed","13025 NEBRASKA CT, KANSAS CITY KS 66109",,
"06/17/2022","SRE22-0152","Safe to Restore Electric","Expired","3126 HASKELL AVE, KANSAS CITY KS 66104",,
"06/16/2022","ELE22-0566","Electrical Permit","Expired","1817 WOODLAND BLVD, KANSAS CITY KS 66106",,
"06/16/2022","RES22-0286","Residential","Expired","1827 N 19TH ST, KANSAS CITY KS 66104",,
"06/16/2022","PLM22-0503","Plumbing Permit","Expired","3008 S 34TH ST, KANSAS CITY KS 66106",,
"06/16/2022","PLM22-0502","Plumbing Permit","Expired","905 N 69TH ST, KANSAS CITY KS 66102",,
"06/16/2022","BSR22-0084","Stop Work Order","Close / Referral","839 MIAMI AVE, KANSAS CITY KS 66105",,
"06/16/2022","ELE22-0565","Electrical Permit","Expired","2301 N 40TH ST, KANSAS CITY KS 66104",,
"06/16/2022","ELE22-0564","Electrical Permit","Expired","3440 N 107TH ST, KANSAS CITY KS 66109",,
"06/16/2022","PLM22-0501","Plumbing Permit","Expired","8157 STATE AVE, KANSAS CITY KS 66112",,
"06/16/2022","RES22-0285","Residential","Expired","2843 S 45TH TER, KANSAS CITY KS 66106",,
"06/16/2022","RES22-0284","Residential","Expired","4614 LLOYD ST, KANSAS CITY KS 66103",,
"06/16/2022","PLM22-0500","Plumbing Permit","Expired","3907 N 111TH ST, KANSAS CITY KS 66109",,
"06/16/2022","RES22-0283","Residential","Expired","7250 HASBROOK AVE, KANSAS CITY KS 66111",,
"06/16/2022","SPK22-0018","Fire Suppression","Expired","905 N 69TH ST, KANSAS CITY KS 66102",,
"06/16/2022","PLM22-0499","Plumbing Permit","Expired","711 N 70TH ST, KANSAS CITY KS 66112",,
"06/15/2022","RES22-0282","Residential","Expired","958 PACIFIC AVE, KANSAS CITY KS 66101",,
"06/15/2022","BSR22-0083","Stop Work Order","Close / Referral","9404 HURRELBRINK RD, KANSAS CITY KS 66109",,
"06/15/2022","ELE22-0563","Electrical Permit","Expired","4010 N 126TH ST, KANSAS CITY KS 66109",,
"06/15/2022","PLM22-0498","Plumbing Permit","Expired","1434 S 55TH ST, KANSAS CITY KS 66106",,
"06/15/2022","MEC22-0287","Mechanical Permit","Expired","3015 N 69TH ST, KANSAS CITY KS 66109",,
"06/15/2022","MEC22-0286","Mechanical Permit","Expired","2101 N 3RD ST, KANSAS CITY KS 66101",,
"06/15/2022","MEC22-0285","Mechanical Permit","Expired","1140 WASHINGTON BLVD, KANSAS CITY KS 66102",,
"06/15/2022","MEC22-0284","Mechanical Permit","Expired","1311 S 52ND ST, KANSAS CITY KS 66106",,
"06/15/2022","MEC22-0283","Mechanical Permit","Expired","755 N 82ND TER, KANSAS CITY KS 66112",,
"06/15/2022","MEC22-0282","Mechanical Permit","Expired","6634 SEWELL AVE, KANSAS CITY KS 66104",,
"06/15/2022","MEC22-0281","Mechanical Permit","Expired","11005 CLEVELAND AVE, KANSAS CITY KS 66109",,
"06/15/2022","MEC22-0280","Mechanical Permit","Expired","1600 N 81ST TER, KANSAS CITY KS 66112",,
"06/15/2022","MEC22-0279","Mechanical Permit","Expired","4515 SUTTON CT, KANSAS CITY KS 66106",,
"06/15/2022","MEC22-0278","Mechanical Permit","Expired","1120 S 75TH TER, KANSAS CITY KS 66111",,
"06/15/2022","PLM22-0497","Plumbing Permit","Expired","1720 STEWART AVE, KANSAS CITY KS 66104",,
"06/15/2022","MEC22-0277","Mechanical Permit","Expired","1331 N 64TH DR, KANSAS CITY KS 66102",,
"06/15/2022","OCC22-0065","Business Occupancy","Expired","8130 KAW DR, KANSAS CITY KS 66111",,
"06/15/2022","MEC22-0276","Mechanical Permit","Expired","240 N 23RD ST, KANSAS CITY KS 66102",,
"06/15/2022","PLM22-0496","Plumbing Permit","Expired","240 N 23RD ST, KANSAS CITY KS 66102",,
"06/15/2022","ELE22-0562","Electrical Permit","Expired","240 N 23RD ST, KANSAS CITY KS 66102",,
"06/15/2022","ELE22-0561","Electrical Permit","Expired","1205 HASBROOK AVE, KANSAS CITY KS 66105",,
"06/15/2022","RES22-0281","Residential","Expired","13415 HOLLINGSWORTH RD, KANSAS CITY KS 66109",,
"06/14/2022","MEC22-0275","Mechanical Permit","Expired","10715 HOLLINGSWORTH RD, KANSAS CITY KS 66109",,
"06/14/2022","MEC22-0274","Mechanical Permit","Expired","1405 N 28TH ST, KANSAS CITY KS 66102",,
"06/14/2022","MEC22-0273","Mechanical Permit","Expired","2732 N 72ND ST, KANSAS CITY KS 66109",,
"06/14/2022","MEC22-0272","Mechanical Permit","Expired","5644 YECKER AVE, KANSAS CITY KS 66104",,
"06/14/2022","GAS22-0055","Gas Permit","Expired","2620 N 18TH ST, KANSAS CITY KS 66104",,
"06/14/2022","MEC22-0271","Mechanical Permit","Expired","21 N 80TH TER, KANSAS CITY KS 66111",,
"06/14/2022","ELE22-0560","Electrical Permit","Expired","2633 N 18TH ST, KANSAS CITY KS 66104",,
"06/14/2022","PLM22-0495","Plumbing Permit","Expired","4200 HASKELL AVE, KANSAS CITY KS 66104",,
"06/14/2022","ELE22-0559","Electrical Permit","Expired","4200 HASKELL AVE, KANSAS CITY KS 66104",,
"06/14/2022","NSF22-0083","New Single Family","Inspections Completed","12436 WINGFOOT DR, KANSAS CITY KS 66109",,
"06/14/2022","ELE22-0558","Electrical Permit","Expired","4109 N 125TH TER, KANSAS CITY KS 66109",,
"06/14/2022","COM22-0072","Commercial","Expired","3932 RAINBOW BLVD, KANSAS CITY KS 66103",,
"06/14/2022","ELE22-0557","Electrical Permit","Expired","308 S 10TH ST, KANSAS CITY KS 66102",,
"06/14/2022","RES22-0280","Residential","Expired","917 ORVILLE AVE, KANSAS CITY KS 66101",,
"06/14/2022","PLM22-0494","Plumbing Permit","Expired","1224 ORVILLE AVE, KANSAS CITY KS 66102",,
"06/14/2022","PLM22-0493","Plumbing Permit","Expired","1312 S 55TH ST, KANSAS CITY KS 66106",,
"06/14/2022","MEC22-0270","Mechanical Permit","Expired","1312 S 55TH ST, KANSAS CITY KS 66106",,
"06/14/2022","PLM22-0492","Plumbing Permit","Expired","3233 FARROW AVE, KANSAS CITY KS 66104",,
"06/14/2022","ELE22-0556","Electrical Permit","Expired","1312 S 55TH ST, KANSAS CITY KS 66106",,
"06/14/2022","PLM22-0491","Plumbing Permit","Expired","125 GREELEY AVE, KANSAS CITY KS 66101",,
"06/14/2022","ELE22-0555","Electrical Permit","Expired","125 GREELEY AVE, KANSAS CITY KS 66101",,
"06/14/2022","MEC22-0269","Mechanical Permit","Expired","1938 N BETHANY ST, KANSAS CITY KS 66104",,
"06/14/2022","MEC22-0268","Mechanical Permit","Expired","523 N 83RD TER, KANSAS CITY KS 66112",,
"06/14/2022","SRE22-0151","Safe to Restore Electric","Expired","1226 WAVERLY AVE, KANSAS CITY KS 66104",,
"06/14/2022","SRE22-0150","Safe to Restore Electric","Expired","1613 ARMSTRONG AVE, KANSAS CITY KS 66102",,
"06/13/2022","MEC22-0267","Mechanical Permit","Expired","13018 WASHINGTON CT, KANSAS CITY KS 66109",,
"06/13/2022","MEC22-0266","Mechanical Permit","Expired","3823 GREELEY AVE, KANSAS CITY KS 66104",,
"06/13/2022","PLM22-0490","Plumbing Permit","Expired","4604 STATE LINE RD, KANSAS CITY KS 66103",,
"06/13/2022","RES22-0279","Residential","Expired","8020 LONGWOOD AVE, KANSAS CITY KS 66109",,
"06/13/2022","PLM22-0489","Plumbing Permit","Expired","2723 LATHROP AVE, KANSAS CITY KS 66104",,
"06/13/2022","RES22-0278","Residential","Expired","2928 S 53RD ST, KANSAS CITY KS 66106",,
"06/13/2022","BSR22-0082","Stop Work Order","Closed","9404 HURRELBRINK RD, KANSAS CITY KS 66109",,
"06/13/2022","ELE22-0554","Electrical Permit","Expired","810 S 53RD ST, KANSAS CITY KS 66106",,
"06/13/2022","OCC22-0064","Business Occupancy","Expired","2830 ROE LN, KANSAS CITY KS 66103",,
"06/13/2022","RES22-0277","Residential","Expired","4228 DODSON AVE, KANSAS CITY KS 66106",,
"06/13/2022","RES22-0276","Residential","Expired","1940 N 50TH TER, KANSAS CITY KS 66102","NEW DECK",
"06/13/2022","RES22-0275","Residential","Expired","11405 CLEVELAND AVE, KANSAS CITY KS 66109",,
"06/13/2022","ELE22-0553","Electrical Permit","Expired","11807 DELAVAN AVE, KANSAS CITY KS 66109",,
"06/13/2022","BSR22-0081","Stop Work Order","Open","2210 SHERMAN ST, KANSAS CITY KS 66101",,
"06/13/2022","SRE22-0149","Safe to Restore Electric","Expired","945 ARMSTRONG AVE, KANSAS CITY KS 66101",,
"06/13/2022","SRE22-0148","Safe to Restore Electric","Expired","941 ARMSTRONG AVE, APT B, KANSAS CITY KS 66101",,
"06/10/2022","PLM22-0488","Plumbing Permit","Expired","1706 LAKE AVE, KANSAS CITY KS 66103",,
"06/10/2022","PLM22-0487","Plumbing Permit","Expired","2929 N 69TH ST, KANSAS CITY KS 66109",,
"06/10/2022","PLM22-0486","Plumbing Permit","Expired","5656 EDITH AVE, KANSAS CITY KS 66104",,
"06/10/2022","PLM22-0485","Plumbing Permit","Expired","1431 N 25TH ST, KANSAS CITY KS 66102",,
"06/10/2022","ELE22-0552","Electrical Permit","Void","1200 N 75TH PL, KANSAS CITY KS 66112",,
"06/10/2022","ELE22-0551","Electrical Permit","Expired","1200 N 75TH PL, KANSAS CITY KS 66112",,
"06/10/2022","PLM22-0484","Plumbing Permit","Inspections Completed","1140 RICHMOND AVE, KANSAS CITY KS 66104",,
"06/10/2022","PDEMO22-0018","Private Demolition","Inspections Completed","4014 STATE LINE RD, KANSAS CITY KS 66103",,
"06/10/2022","PLM22-0483","Plumbing Permit","Expired","78 S BETHANY ST, KANSAS CITY KS 66102",,
"06/10/2022","BSR22-0080","Stop Work Order","Closed","3217 N 38TH ST, KANSAS CITY KS 66104",,
"06/10/2022","PLM22-0482","Plumbing Permit","Expired","320 S 86TH ST, KANSAS CITY KS 66111",,
"06/10/2022","BSR22-0079","Stop Work Order","Closed","716 STEWART AVE, KANSAS CITY KS 66101",,
"06/10/2022","ELE22-0550","Electrical Permit","Expired","12434 MEADOW LN, KANSAS CITY KS 66109",,
"06/10/2022","PLM22-0481","Plumbing Permit","Expired","2024 N 77TH ST, KANSAS CITY KS 66109",,
"06/10/2022","ELE22-0549","Electrical Permit","Expired","7451 KANSAS AVE, KANSAS CITY KS 66111",,
"06/10/2022","RES22-0274","Residential","Expired","2912 HASKELL AVE, KANSAS CITY KS 66104","INTERIOR REMODEL",
"06/10/2022","SITE22-0004","Site Improvement","Expired","2417 N 5TH ST, KANSAS CITY KS 66101",,
"06/10/2022","GAS22-0054","Gas Permit","Expired","119 S PYLE ST, KANSAS CITY KS 66101",,
"06/10/2022","ELE22-0548","Electrical Permit","Expired","250 S 5TH ST, KANSAS CITY KS 66101",,
"06/10/2022","SRE22-0147","Safe to Restore Electric","Expired","407 N 6TH ST, KANSAS CITY KS 66101",,
"06/10/2022","SRE22-0146","Safe to Restore Electric","Expired","245 S FERREE ST, KANSAS CITY KS 66101",,
"06/10/2022","SRE22-0145","Safe to Restore Electric","Expired","941 ARMSTRONG AVE, KANSAS CITY KS 66101",,
"06/09/2022","ELE22-0547","Electrical Permit","Expired","1919 W 43RD AVE, KANSAS CITY KS 66103",,
"06/09/2022","PLM22-0480","Plumbing Permit","Expired","2523 N 75TH ST, KANSAS CITY KS 66109",,
"06/09/2022","GAS22-0053","Gas Permit","Expired","2766 HASKELL AVE, KANSAS CITY KS 66104",,
"06/09/2022","ELE22-0546","Electrical Permit","Void","8316 TAUROMEE AVE, KANSAS CITY KS 66112",,
"06/09/2022","PLM22-0479","Plumbing Permit","Expired","701 N 80TH TER, KANSAS CITY KS 66112",,
"06/09/2022","GAS22-0052","Gas Permit","Void","701 N 80TH TER, KANSAS CITY KS 66112",,
"06/09/2022","ELE22-0545","Electrical Permit","Expired","2606 N 45TH TER, KANSAS CITY KS 66104",,
"06/09/2022","PLM22-0478","Plumbing Permit","Expired","2074 N 5TH ST, KANSAS CITY KS 66101",,
"06/09/2022","PLM22-0477","Plumbing Permit","Expired","1919 PRAIRIE XING, KANSAS CITY KS 66111",,
"06/09/2022","PLM22-0476","Plumbing Permit","Expired","3042 N 47TH TER, KANSAS CITY KS 66104",,
"06/09/2022","PLM22-0475","Plumbing Permit","Expired","299 E DONOVAN RD, KANSAS CITY KS 66115",,
"06/09/2022","ELE22-0544","Electrical Permit","Expired","401 N 16TH ST, KANSAS CITY KS 66102",,
"06/09/2022","ELE22-0543","Electrical Permit","Expired","7231 ASPEN DR, KANSAS CITY KS 66111",,
"06/09/2022","ELE22-0542","Electrical Permit","Expired","7316 MIAMI AVE, KANSAS CITY KS 66111",,
"06/09/2022","ELE22-0541","Electrical Permit","Expired","7312 MIAMI AVE, KANSAS CITY KS 66111",,
"06/09/2022","ELE22-0540","Electrical Permit","Expired","965 S 73RD PL, KANSAS CITY KS 66111",,
"06/09/2022","ELE22-0539","Electrical Permit","Expired","965 S 73RD TER, KANSAS CITY KS 66111",,
"06/09/2022","ELE22-0538","Electrical Permit","Expired","299 E DONOVAN RD, KANSAS CITY KS 66115",,
"06/09/2022","ELE22-0537","Electrical Permit","Expired","6233 WASHINGTON AVE, KANSAS CITY KS 66102",,
"06/09/2022","ELE22-0536","Electrical Permit","Expired","542 BARNETT AVE, KANSAS CITY KS 66101",,
"06/09/2022","PLM22-0474","Plumbing Permit","Expired","11530 PARKVIEW AVE, KANSAS CITY KS 66109",,
"06/09/2022","ELE22-0535","Electrical Permit","Expired","11530 PARKVIEW AVE, KANSAS CITY KS 66109",,
"06/09/2022","MEC22-0265","Mechanical Permit","Expired","7850 YECKER AVE, KANSAS CITY KS 66109",,
"06/09/2022","PLM22-0473","Plumbing Permit","Expired","4809 PARALLEL PKWY, KANSAS CITY KS 66104",,
"06/09/2022","RES22-0273","Residential","Expired","3037 N 42ND ST, KANSAS CITY KS 66104","FRONT DECK AND ROOF COVERING A PORTION",
"06/09/2022","GRD22-0005","Grading-Excavation","Issued","1501 N 90TH ST, KANSAS CITY KS 66112",,
"06/09/2022","SRE22-0144","Safe to Restore Electric","Expired","2766 HASKELL AVE, KANSAS CITY KS 66104",,
"06/09/2022","SRE22-0143","Safe to Restore Electric","Expired","2404 N 7TH ST, APT R, KANSAS CITY KS 66101",,
"06/08/2022","DRC23-0029","DRC","Expired","16 KANSAS AVE, KANSAS CITY KS 66105",,
"06/08/2022","DRC22-0039","DRC","CO Issued","6220 KANSAS AVE, KANSAS CITY KS 66111",,
"06/08/2022","ELE22-0534","Electrical Permit","Expired","13823 MARXEN RD, KANSAS CITY KS 66109",,
"06/08/2022","PLM22-0472","Plumbing Permit","Expired","2919 LATHROP AVE, KANSAS CITY KS 66104",,
"06/08/2022","ELE22-0533","Electrical Permit","Expired","2919 LATHROP AVE, KANSAS CITY KS 66104",,
"06/08/2022","DRC22-0038","DRC","Expired","1281 MERRIAM LN, KANSAS CITY KS 66103",,
"06/08/2022","DRC22-0037","DRC","ERW Approved As Noted","16 KANSAS AVE, KANSAS CITY KS 66105",,
"06/08/2022","PLM22-0471","Plumbing Permit","Expired","2361 TAUROMEE AVE, KANSAS CITY KS 66102",,
"06/08/2022","OCC22-0063","Business Occupancy","Expired","745 KANSAS AVE, KANSAS CITY KS 66105",,
"06/08/2022","ELE22-0532","Electrical Permit","Expired","3234 TAUROMEE AVE, KANSAS CITY KS 66102",,
"06/08/2022","ROOF22-0023","Re-Roof","Expired","3006 N 75TH TER, KANSAS CITY KS 66109",,
"06/08/2022","SRE22-0142","Safe to Restore Electric","Expired","2235 GARFIELD AVE, KANSAS CITY KS 66104",,
"06/08/2022","SRE22-0141","Safe to Restore Electric","Expired","5143 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"06/08/2022","SRE22-0140","Safe to Restore Electric","Expired","2426 N 44TH ST, KANSAS CITY KS 66104",,
"06/07/2022","BSR22-0078","Stop Work Order","Closed","1201 OSAGE AVE, KANSAS CITY KS 66105",,
"06/07/2022","PLM22-0470","Plumbing Permit","Expired","1205 S 39TH ST, KANSAS CITY KS 66106",,
"06/07/2022","BSR22-0077","Stop Work Order","Work Stopped-Permits Required","8020 LONGWOOD AVE, KANSAS CITY KS 66109",,
"06/07/2022","RES22-0272","Residential","Issued","413 SHAWNEE RD, KANSAS CITY KS 66103",,
"06/07/2022","BSR22-0076","Stop Work Order","Closed","1404 N 11TH ST, KANSAS CITY KS 66102",,
"06/07/2022","RES22-0271","Residential","Expired","1217 N 131ST TER, KANSAS CITY KS 66109",,
"06/07/2022","BSR22-0075","Stop Work Order","Closed","2115 SPRINGFIELD BLVD, KANSAS CITY KS 66101",,
"06/07/2022","RES22-0270","Residential","Expired","7935 ROWLAND AVE, KANSAS CITY KS 66109",,
"06/07/2022","PLM22-0469","Plumbing Permit","Expired","2720 N 75TH TER, KANSAS CITY KS 66109",,
"06/07/2022","RES22-0269","Residential","Expired","11411 HOLLINGSWORTH RD, KANSAS CITY KS 66109",,
"06/07/2022","PLM22-0468","Plumbing Permit","Expired","1851 TENNYSON ST, KANSAS CITY KS 66104",,
"06/07/2022","GAS22-0051","Gas Permit","Expired","4228 DODSON AVE, KANSAS CITY KS 66106",,
"06/07/2022","NSF22-0082","New Single Family","Issued","4014 STRONG AVE, KANSAS CITY KS 66106",,
"06/07/2022","NSF22-0081","New Single Family","Inspections Completed","3225 N 109TH PL, KANSAS CITY KS 66109",,
"06/07/2022","ELE22-0531","Electrical Permit","Expired","7250 HASBROOK AVE, KANSAS CITY KS 66111",,
"06/07/2022","PLM22-0467","Plumbing Permit","Expired","926 ARGENTINE BLVD, KANSAS CITY KS 66105",,
"06/07/2022","ELE22-0530","Electrical Permit","Expired","926 ARGENTINE BLVD, KANSAS CITY KS 66105",,
"06/07/2022","MEC22-0264","Mechanical Permit","Expired","8510 BARNETT AVE, KANSAS CITY KS 66112",,
"06/07/2022","ELE22-0529","Electrical Permit","Expired","8510 BARNETT AVE, KANSAS CITY KS 66112",,
"06/07/2022","PLM22-0466","Plumbing Permit","Expired","4718 MELODY LN, KANSAS CITY KS 66106",,
"06/07/2022","RES22-0268","Residential","Expired","7931 SANDUSKY AVE, KANSAS CITY KS 66112",,
"06/07/2022","RES22-0267","Residential","Expired","112 S 25TH ST, KANSAS CITY KS 66102",,
"06/06/2022","POOL22-0011","Pool-Spa","Expired","12140 DONAHOO RD, KANSAS CITY KS 66109",,
"06/06/2022","ELE22-0528","Electrical Permit","Expired","12819 SPRING AVE, KANSAS CITY KS 66109",,
"06/06/2022","ELE22-0527","Electrical Permit","Expired","2761 N 33RD ST, KANSAS CITY KS 66104",,
"06/06/2022","POOL22-0010","Pool-Spa","Expired","3310 N 100TH ST, KANSAS CITY KS 66109",,
"06/06/2022","RES22-0266","Residential","Void","8521 RIVERVIEW AVE, KANSAS CITY KS 66112",,
"06/06/2022","RES22-0265","Residential","Expired","2617 N 77TH ST, KANSAS CITY KS 66109",,
"06/06/2022","RES22-0264","Residential","Expired","4316 FISHER ST, KANSAS CITY KS 66103",,
"06/06/2022","RES22-0263","Residential","Expired","2323 N 115TH ST, KANSAS CITY KS 66109",,
"06/06/2022","RES22-0262","Residential","Expired","3907 N 111TH ST, KANSAS CITY KS 66109",,
"06/06/2022","ELE22-0526","Electrical Permit","Expired","3337 WEBSTER AVE, KANSAS CITY KS 66104",,
"06/06/2022","MEC22-0263","Mechanical Permit","Expired","835 WAVERLY AVE, KANSAS CITY KS 66101",,
"06/06/2022","RES22-0261","Residential","Expired","3349 N 110TH ST, KANSAS CITY KS 66109",,
"06/06/2022","RES22-0260","Residential","Expired","4503 EATON ST, KANSAS CITY KS 66103",,
"06/06/2022","ELE22-0525","Electrical Permit","Expired","2963 S 42ND ST, KANSAS CITY KS 66106",,
"06/06/2022","RES22-0259","Residential","Expired","428 N 5TH ST, KANSAS CITY KS 66101",,
"06/06/2022","GAS22-0050","Gas Permit","Expired","5012 ARGENTINE BLVD, KANSAS CITY KS 66106",,
"06/06/2022","SRE22-0139","Safe to Restore Electric","Expired","2717 N ALLIS ST, KANSAS CITY KS 66101",,
"06/03/2022","SPK22-0017","Fire Suppression","Expired","2601 RIDGE AVE, KANSAS CITY KS 66102",,
"06/03/2022","ELE22-0524","Electrical Permit","Expired","914 KANSAS AVE, KANSAS CITY KS 66105",,
"06/03/2022","PLM22-0465","Plumbing Permit","Expired","3907 OAKLAND AVE, KANSAS CITY KS 66102",,
"06/03/2022","PLM22-0464","Plumbing Permit","Expired","1100 COUNTY LINE RD, KANSAS CITY KS 66103",,
"06/03/2022","SPK22-0016","Fire Suppression","Expired","1111 N 98TH ST, KANSAS CITY KS 66111",,
"06/03/2022","RES22-0258","Residential","Expired","2105 W 43RD AVE, KANSAS CITY KS 66103",,
"06/03/2022","ELE22-0523","Electrical Permit","Void","1843 VILLAGE WEST PKWY, KANSAS CITY KS 66111",,
"06/03/2022","RES22-0257","Residential","Expired","1709 W 37TH AVE, KANSAS CITY KS 66103",,
"06/03/2022","ELE22-0522","Electrical Permit","Expired","1510 N 44TH ST, KANSAS CITY KS 66102",,
"06/03/2022","PLM22-0463","Plumbing Permit","Expired","1546 N 33RD ST, KANSAS CITY KS 66102",,
"06/03/2022","BSR22-0074","Stop Work Order","Open","2916 PARKWOOD BLVD, KANSAS CITY KS 66104",,
"06/03/2022","RES22-0256","Residential","Expired","2916 PARKWOOD BLVD, KANSAS CITY KS 66104",,
"06/03/2022","RES22-0255","Residential","Expired","1612 S 37TH ST, KANSAS CITY KS 66106",,
"06/03/2022","ELE22-0521","Electrical Permit","Expired","7648 STATE AVE, KANSAS CITY KS 66112",,
"06/03/2022","MEC22-0262","Mechanical Permit","Expired","2547 N 109TH TER, KANSAS CITY KS 66109",,
"06/03/2022","RES22-0254","Residential","Expired","2016 OAKLAND AVE, KANSAS CITY KS 66102",,
"06/03/2022","COM22-0071","Commercial","Expired","6865 STATE AVE, KANSAS CITY KS 66102",,
"06/03/2022","PLM22-0462","Plumbing Permit","Expired","7725 OAKLAND AVE, KANSAS CITY KS 66112",,
"06/03/2022","RES22-0253","Residential","Expired","11730 HOLLINGSWORTH RD, KANSAS CITY KS 66109",,
"06/03/2022","RES22-0252","Residential","Expired","6318 CLEVELAND AVE, KANSAS CITY KS 66104",,
